7096	https://zenodo.org/api/records/7096	https://doi.org/10.5281/zenodo.7096	md5:46b5c3aab7aa3fa58e5822c9c3dbd3a7	https://zenodo.org/api/files/1b8adb97-6ffc-4aef-8654-3ade2d48c06b/cyrface_v1.0.zip	105878933	zip	cyrface_v1.0.zip	Cyrface - Bridging Cytoscape with R	publication
10805	https://zenodo.org/api/records/10805	https://doi.org/10.5281/zenodo.10805	md5:2246944de26b4879e395029322e7665d	https://zenodo.org/api/files/90f50a7e-6edc-4d6e-a5b4-c520d24391a5/namic_projectweek_2014-06-23_slicerextensions_talk-v1.0.zip	2538524	zip	namic_projectweek_2014-06-23_slicerextensions_talk-v1.0.zip	3D Slicer extensions usage and contribution process	presentation
11293	https://zenodo.org/api/records/11293	https://doi.org/10.5281/zenodo.11293	md5:84f65c35e3646a72b29801f476de50b5	https://zenodo.org/api/files/c037e866-1fcd-4c7a-ab00-fc18061527bc/ore-0.9.0.zip	18562	zip	ore-0.9.0.zip	ORE User Guide - Resource Map Implementation in JSON-LD 0.9	publication
17171	https://zenodo.org/api/records/17171	https://doi.org/10.5281/zenodo.17171	md5:b77283a3fd311f3dd462c790773b7a2a	https://zenodo.org/api/files/30d5dc1b-1672-4dc6-b40a-9969e10fe544/connected-city-0.6.0.zip	541163	zip	connected-city-0.6.0.zip	connected-city: initial pre-release	publication
28035	https://zenodo.org/api/records/28035	https://doi.org/10.5281/zenodo.28035	md5:3cb3c50b50b97e812dfad71672e650d7	https://zenodo.org/api/files/ff5099f4-a8ef-4f0c-9c51-343e4240e2f4/UEL-supportDM_module_5__cataloguing_data.zip	24378028	zip	UEL-supportDM_module_5__cataloguing_data.zip	SupportDM (UEL) Module 5: Cataloguing Data	lesson
33124	https://zenodo.org/api/records/33124	https://doi.org/10.5281/zenodo.33124	md5:0f8d90b96a2f41ecd90bc8fe282e2f79	https://zenodo.org/api/files/8f6eaab6-2006-4682-9852-0f6af8d7904c/D3_3_MCF_Code.zip	2342542	zip	D3_3_MCF_Code.zip	D3.3: Mobility Aspects pre-prototype software	publication
33124	https://zenodo.org/api/records/33124	https://doi.org/10.5281/zenodo.33124	md5:9d61d38407df0e587c106b5ae396c14c	https://zenodo.org/api/files/8f6eaab6-2006-4682-9852-0f6af8d7904c/D3_3_MTracker_Code.zip	1755702	zip	D3_3_MTracker_Code.zip	D3.3: Mobility Aspects pre-prototype software	publication
34631	https://zenodo.org/api/records/34631	https://doi.org/10.5281/zenodo.34631	md5:bee5d8e0fbef8b9496639c78b2d10f6e	https://zenodo.org/api/files/b0e4e7dd-1815-4d21-b499-1a6f7da57a79/talk-aleph-workshop2015-v0.1.zip	585869	zip	talk-aleph-workshop2015-v0.1.zip	Pitfalls of evaluating a classifier's performance in high energy physics applications	publication
35163	https://zenodo.org/api/records/35163	https://doi.org/10.5281/zenodo.35163	md5:3eda011d3ba58712987c2920ba4630c2	https://zenodo.org/api/files/9b42e234-4c24-462d-b621-9cda543ad550/biss2014-v0.1.0.zip	2703959	zip	biss2014-v0.1.0.zip	biss2014 v0.1.0	presentation
50107	https://zenodo.org/api/records/50107	https://doi.org/10.5281/zenodo.50107	md5:696f358b978e5e84b02839d9bec3a818	https://zenodo.org/api/files/1d10f75f-9ea9-4a24-a050-873700b1393b/Rojas_Survey_Phytopath_2016-v1.1.zip	94337888	zip	Rojas_Survey_Phytopath_2016-v1.1.zip	Oomycete species associated with soybean seedlings in North America	publication
